Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Tom Lake,Ann Patchett,"",9780063327528,hardcover,read,2025/01/08,2025/01/16,2025/01/16,1,"",,,,,,,5.0,"The pandemic was a time of contrasts. For some, it meant grueling demands on essential workers and healthcare providers; for others, the privilege of working from home and newfound flexibility. It revealed, with painful clarity, the disparities of life in America, as George Floyd’s murder ignited nationwide Black Lives Matter protests. It brought innovation and global cooperation—like the race to develop a vaccine—while also exposing deep divisions and systemic inequities. And for many, it was a period of stillness, of both fear and reflection.<br><br>Contrast is at the heart of Ann Patchett’s <i>Tom Lake</i>, where the pandemic serves as a subtle but resonant backdrop. It’s impossible to ignore the heartbreak of that time—I remember spending hours each morning glued to my phone, following news about lockdown mandates, death tolls in Italy, the latest protests, and vaccine developments. But the pandemic also had a way of slowing life down, encouraging me to notice the quiet joys of the everyday. Patchett captures this duality so well. Beneath the uncertainty and fear of <i>Tom Lake</i> lies a celebration of the present moment, a reminder to hold close what truly matters.<br><br>At the center of the novel is Lara Kenison, a cherry farmer, mother, and former actress, who spends her pandemic summer with her three grown daughters, Emily, Maisie, and Nell. The girls, forced to return home due to the pandemic, become the new cherry-picking crew on their Michigan farm. To pass the time, Lara shares the story of a pivotal summer in her twenties when she acted in summer stock theater, fell in love with Peter Duke—an aspiring actor who would later become a famous movie star—and made choices that would forever shape her life.<br><br>The novel is steeped in nostalgia, both for Lara’s youth and for the simpler, slower rhythm of life on the cherry farm. I found myself reflecting on my own pandemic experience as Lara’s daughters navigated their summer in a safe, comforting bubble. Like them, I spent those months with family, balancing global anxiety with the grounding simplicity of home. I remember the slow, unhurried days at my parents’ house—drinking black coffee on the front porch, inching my chair back to stay in the shade a little longer. I watched college lectures on Zoom while lying in the grass, picked blueberries from the backyard, and discovered the joy of listening to entire albums instead of playlists.<br><br>Even the subtext of Lara’s story is rich with this theme of contrast. She was a good actress with good connections and the reader cannot help but to image the life she could have had—one filled with fame, money, and glamour—had she stayed in California and pursued acting. Instead, she chose a quieter, more grounded existence as a mother, wife, and farmer. As she shares her memories, Lara insists she has no regrets about the life she built, but I can’t help wondering, just a little, if she let's herself wonder about the paths not taken. It’s a tension that’s deeply human: imagining the ""what-ifs"" while still cherishing the beauty of the life you’ve chosen.<br><br>Listening to the audiobook, narrated by Meryl Streep, was an experience all its own. Streep’s warm, intimate performance made me feel as though Lara was speaking directly to me, and her voice brought the story to life with such depth and nuance. I mostly listened while running, imagining myself under the sun-drenched summer of a Michigan cherry orchard. In reality, I was trudging through the foggy Snohomish winter, but even here, there's plenty to appreciate —deer grazing on frosted grass, evergreen trees standing tall, and, on clear days, the snow-capped mountains in the distance.<br><br>Patchett’s prose is poetic without ever feeling forced. <i>Tom Lake</i> is a slower burn of a novel, one that invites you to reflect on the people you love, to find beauty in the fleeting moments, and to appreciate the simple life—a life rooted in connection, in place, in purpose. Like a cherry orchard in bloom, its joys are all the more precious for their impermanence.","",,"",No
Agnes Grey,Anne Brontë,"",9781509890002,hardcover,read,2024/10/10,2024/10/19,2024/10/19,1,"",,,,,,,2.0,"Not for me, but I won’t give up on Anne completely. I think this book is safe to skip as far as Brontë classics g, but I’ll try “The Tenant of Wildfell Hall” someday.","",,"",No
Bunny,Mona Awad,"",9780525559757,paperback,read,2026/01/03,2026/01/03,2026/01/03,1,"",,,,,,,3.0,,"",,"",No
Just Kids,Patti Smith,Alessandro Mari (Translator),9788807885778,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
Charlotte's Web,E.B. White,Garth Williams (Illustrator),9780064410939,paperback,read,2023/09/02,2025/01/28,2025/01/28,1,"",,,,,,,3.0,"<blockquote>""These autumn days will shorten and grow cold. The leaves will shake loose from the trees and fall. Christmas will come, then the snows of winter. You will live to enjoy the beauty of the frozen world, for you mean a great deal to Zuckerman and he will not harm you, ever. Winter will pass, the days will lengthen, the ice will melt in the pasture pond. The song sparrow will return and sing, the frogs will awake, the warm wind will blow again. All these sights and sounds and smells will be yours to enjoy, Wilbur — this lovely world, these precious days …""</blockquote><br>I have to admit that I've never really understood the magic of Charlotte's Web. It was not a beloved book to me as a child and is still not as an adult.<br><br>Reading it this time around, I was surprised by just how Christian a story it is. Although nobody goes as far as mentioning ""God"" when the Zuckermans awake to see the words woven into the web, they use terms like ""miracle"" and ""wonder."" They consult their minister, who delivers a sermon.<br><br>But really it is Charlotte who embodies a sort of saintliness: spending her little time on this earth in service of Wilbur. Charlotte, who never sought glory and never begrudged Wilbur the honor that her incredible webs brought him. That White writes Charlotte to credit the act of procreation as her finest work, above her miraculous webs, reveals quite a religious sensibility.","",,"",No
Crying in H Mart,Michelle Zauner,"",9780525657743,hardcover,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
The Final Revival of Opal & Nev,Dawnie Walton,"",9781982140168,hardcover,to-read,2022/08/14,"","",0,"",,,,,,,,,"",,"",No
The Masque of the Red Death,Edgar Allan Poe,"",9780241573754,hardcover,read,2024/01/18,2024/02/26,2024/02/26,1,"",,,,,,,3.0,I don’t know if Edgar Allen Poe is not for me or I was just not in the right mood to read these short stories. My favorites were The Black Cat and The Tell-Tale Heart.,"",,"",No
The Wizard of Oz,L. Frank Baum,Lisbeth Zwerger,9781558586383,hardcover,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Ender's Game,Orson Scott Card,"",9780812550702,paperback,to-read,2022/08/07,"","",0,"",,,,,,,,,"",,"",No
Black Beauty,Anna Sewell,"",9780099572930,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
The Comedy of Errors,William Shakespeare,"",9780812969337,paperback,read,2025/05/22,2025/05/22,2025/05/22,1,"",,,,,,,3.0,"<i>The Comedy of Errors</i> is one of Shakespeare’s earliest works. It’s a quick read and leans heavily into its own chaos. <br><br>Shakespeare takes the basic plot from Plautus’s Menaechmi, then cranks it up a notch: two sets of identical twins separated at birth. One pair are both named Antipholus, and the other pair fills a servant for each. Both identical servants are named Dromio. They come together in Ephesus, but don't meet their twin counterparts until the end of play. The result? A ridiculous mess of mistaken identities, farce, and some truly baffling encounters.<br><br>The humor hinges on us accepting that these characters are so committed to their illogical reasoning that, for example, Egeon and his wife, parents of twins so identical they can only be told apart by name, would name them the same thing.<br><br>Or that Antipholus of Syracuse spends seven years desperately searching for his long-lost twin brother, whom without, he describes himself:<br><blockquote><br>“I to the world am like a drop of water That in the ocean seeks another drop, Who, falling there to find his fellow forth, Unseen, inquisitive, confounds himself. So I, to find a mother and a brother, In quest of them, unhappy, lose myself.” —Antipholus of Syracuse, Act 1, Scene 2<br></blockquote><br>When complete strangers start greeting him like they know him, demanding money, or calling him “husband,” he never once thinks, “Hmm, could this be my twin brother?” No— obviously this strange treatment is the result of witchcraft. <br><br><i>The Comedy of Errors</i> is a play that revels in its absurdity, which is exactly why it works.","",,"",No
Wide Sargasso Sea,Jean Rhys,"",9780241281901,hardcover,read,2023/04/02,2023/10/11,2023/10/11,1,"",,,,,,,2.0,"I really wanted to enjoy this, but had a really hard time following the story. It reminded me a lot of a Samantha Schweblin’s “Fever Dream” but it was not as well executed. I don’t feel like I wasted my time reading it (It’s the perfect size for a plane-read), but I don’t think it’s one I’ll revisit.","",,"",No
The Canterbury Tales,Geoffrey Chaucer,Nevill Coghill (Translator),9780141393216,hardcover,to-read,2024/01/04,"","",0,"",,,,,,,,,"",,"",No
Dear Data,"Giorgia Lupi, Stefanie Posavec",Maria Popova (Contributor),9781616895327,paperback,read,2023/09/19,"","",1,"",,,,,,,,,"",,coffee-table,No
Grace Hopper and the Invention of the Information Age,Kurt W. Beyer,"",9780262517263,paperback,read,2023/01/04,2023/03/20,2023/03/20,1,"",,,,,,,3.0,"This book is much more an overview of how the Information Age came to be (or at least the contributions of American innovators to the early field) than it is a biography centered on Grace Hopper. While a little dry, it’s an informative and well researched read for anyone interested in the history of early computing.","",,"",No
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9781476738017,hardcover,read,2025/01/20,2025/02/01,2025/02/01,1,"",,,,,,,4.0,"<i>“To love someone is like moving into a house,"" Sonja used to say. ""At first you fall in love in everything new, you wonder every morning that this is one's own, as if they are afraid that someone will suddenly come tumbling through the door and say that there has been a serious mistake and that it simply was not meant to would live so fine. But as the years go by, the facade worn, the wood cracks here and there, and you start to love this house not so much for all the ways it is perfect in that for all the ways it is not. You become familiar with all its nooks and crannies. How to avoid that the key gets stuck in the lock if it is cold outside. Which floorboards have some give when you step on them, and exactly how to open the doors for them not to creak. That's it, all the little secrets that make it your home.”</i><br><br>I stumbled upon this quote and immediately fell in love, when I discovered it was from <i>A Man Called Ove</i>, I immediately checked it out from the library and without knowing anything about plot, dove right in. I was a bit surprised to discover that while the quote hints at a romance, this is not really a love story.<br><br>It's dark but also wholesome. Funny, yet tragic. It was 100% worth my time.","",,"",No
Bird by Bird,Anne Lamott,"",9781572705876,audio,read,2025/01/20,2025/01/23,2025/01/23,1,"",,,,,,,3.0,"I’m not entirely sure what led me to pick up <i>Bird by Bird</i>, considering I have no aspirations of becoming a writer. It was probably the influence of the many writers and aspiring authors I follow on TikTok—almost all of whom have read this book, as I’ve gathered from their posts or glimpses of it on their bookshelves in the background.<br><br>Perhaps some of the advice I absorbed will make me a better reader. Even if it doesn’t, this book was surprisingly entertaining. Anne Lamott is funny—like <b>very</b> funny. And as someone who can barely manage a journal entry for fear of disappointing my future self with the imperfection of my present self, I’ll gladly be reminded, over and over again, that the best things start messy. Good books begin as messy, embarrassing first drafts. <br><br>Unfortunately since finishing this book I've still yet to write any journal entries so I'll probably need some more people to reiterate this lesson. Maybe in another dozen years, the message will stick, and my days of journaling will commence.","",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2024/01/04,"","",1,"",,,,,,,,,"",,"",No
Cleopatra and Frankenstein,Coco Mellors,"",9781635576818,hardcover,read,2025/10/15,2025/10/22,2025/10/22,1,"",,,,,,,3.0,"I liked this. (I think?)<br><br>I have a hard time with contemporary literary fiction and as far as that category goes, this ranks highly. I liked this a lot more than Anne Neapolitan’s “Hello Beautiful” &amp; a fair amount less than Anne Patchett’s “Tom Lake”.","",,"",No
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"",9780316204361,hardcover,read,2022/08/07,2021/01/01,2021/01/01,1,"",,,,,,,5.0,Who doesn't love a Malcom Gladwell book? Especially the first one you read.,"",,"",No
Voyager,Diana Gabaldon,"",9780385335997,paperback,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Lawn Boy,Jonathan Evison,"",9781616202620,hardcover,read,2025/02/09,2025/02/20,2025/02/20,1,"",,,,,,,3.0,"I picked this up because it was on the American Library Associations list of ""Most Frequently Challenged Books"" for the last few years. No better publicity than banning a book, right? <br><br>I thought it was good, Although I'd doubt it's the type of banned-book to become a ""classic"". The protagonist was reminiscent of a modern working-class Holden Caulfield, but a bit more sympathetic.","",,"",No
A Lesson Before Dying,Ernest J. Gaines,"",9780375702709,paperback,to-read,2024/11/22,"","",0,"",,,,,,,,,"",,"",No
Hatchet,Gary Paulsen,"",9780689840920,hardcover,read,2025/02/21,2025/03/12,2025/03/12,1,"",,,,,,,2.0,"I remember loving this book as a child. It was still lovable, but not quite as enduringly great as some of the other children/YA books I've revisited this year.","",,"",No
Uncanny Valley: A Memoir,Anna Wiener,"",9780374278014,hardcover,read,2023/01/20,2023/02/15,2023/02/15,1,"",,,,,,,3.0,"In ""Uncanny Valley,"" Anna Wiener offers a sharp and witty memoir that provides readers with a unique look into Silicon Valley's startup culture during the early 2010s. With a humanities background and a passion for innovation and social impact, Wiener is drawn into the world of tech startups, only to discover a reality that falls far short of the utopia she had imagined.<br><br>The memoir captures Wiener's experiences working at various tech startups and offers insights into the fast-paced growth of the industry and the culture of ""disruption"" that has become synonymous with Silicon Valley. Her writing style is vivid, providing a clear picture of the world she describes, and her wit and humor shine through, making the book a compelling and enjoyable read.<br><br>However, at times, Wiener's cleverness overshadows the actual story she is trying to tell. Her tendency to compose pretty metaphors and clever insights into random aspects of life in the valley can distract from the memoir's core message.<br><br>As a woman who has worked in the startup world, I felt both seen and erased while reading ""Uncanny Valley."" While Wiener highlights her own struggles with being a woman in the technology industry, she fails to flesh out any of her encounters with other women beyond a few sentences providing the reader with a sense that women are unimportant to the storyline. Despite this, I would expect that many women who have worked in technology will identify with some or most of the experiences she describes.<br><br>Ultimately, ""Uncanny Valley"" offers an important and insightful perspective on the tech industry, with a particular focus on Silicon Valley. Wiener's memoir does not necessarily break new ground on the issues faced by women in tech, but it provides a unique and honest look into the personal toll that working in the industry can take. In short, it is a thought-provoking and engaging read.","",,"",No
Brave New World,Aldous Huxley,"",9780060929879,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Bit by Bit: Social Research in the Digital Age,Matthew J. Salganik,"",9780691158648,hardcover,read,2022/08/07,2021/01/01,2021/01/01,1,"",,,,,,,,,"",,"",No
Bright Young Women,Jessica Knoll,"",9781501153228,hardcover,read,2024/09/23,2024/10/06,2024/10/06,1,"",,,,,,,3.0,"I liked this! <br><br>I’m not a huge fan of true crime as a genre and something about “fictionalized true crime” framing of this book felt a bit off to me. <br><br>That being said, I was entertained by the story. I’m from Washington state so enjoyed all the location references in Ruth’s story, and felt like I could relate a lot Pamela’s character.","",,"",No
Ligeia,Edgar Allan Poe,"",9781594561900,paperback,read,2024/02/26,"","",1,"",,,,,,,4.0,I felt like this was a (refreshing) departure from the usual Edgar Allen Poe story.,"",,"",No
The Tenant of Wildfell Hall,Anne Brontë,"",9780241198957,hardcover,to-read,2023/10/23,"","",0,"",,,,,,,,,"",,"",No
Where the Red Fern Grows,Wilson Rawls,"",9780375806810,paperback,read,2023/09/02,2025/03/13,2025/03/13,1,"",,,,,,,4.0,"This was the first book that ever made me cry. I’ve been terrified to reread it — worried the magic I felt as a kid, reading it under the covers past my bedtime, might not exist for the grown up version of me.<br><br>The magic still existed, the ending still breaks my heart. I’ll write a real review when I manage to stop crying.","",,"",No
Crime and Punishment,Fyodor Dostoevsky,David McDuff (Translator),9780140455687,hardcover,read,2024/01/04,2024/02/17,2024/02/17,1,"",,,,,,,5.0,I fear I may be the type of person who genuinely enjoys 19th century Russian door-stoppers.<br><br>Update: it’s been 2 months since I finished it and I can’t stop thinking about this book.,"",,"",No
All Fours,Miranda July,"",9780593190265,hardcover,read,2025/03/17,2025/03/16,2025/03/16,1,"",,,,,,,1.0,"DNF @40% - I typically approach books without prior research, preferring to be surprised by what I find. ""All Fours"" was certainly surprising. (But also not for me!)<br>I think in today’s dopamine-driven world, we too often conflate art that is shocking or novel with art that is meaningful and good. While art remains subjective, ""All Fours"" achieved remarkable popularity. A NYT bestseller, “All Fours” appeared on virtually every ""Best Books of 2024"" list (New York Times, Washington Post, NPR, Time Magazine, The New Yorker, Oprah Magazine, among others).<br><br>The writing is undeniably beautiful, lots of highlighter-worthy sentences. Yet the beauty feels strangely at odds with the novel's raw, primal sexuality and occasional vulgarity.<br><br>Had I researched Miranda July beforehand, I might have been able to appreciate this a bit more. Beginning as a performance artist, July has evolved into a multifaceted creator. She’s a film director, screenwriter, actress, and author. Her work consistently aims to provoke and challenge, making ""shocking"" content her artistic signature. For July and readers seeking such provocation, this book succeeds brilliantly.<br><br>I just think there are better for book clubs to be reading en-masse.","",,"",No
Queen of Shadows,Sarah J. Maas,"",9781639731008,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
Infinite Jest,David Foster Wallace,"",9780349121086,paperback,to-read,2023/03/19,"","",0,"",,,,,,,,,"",,"",No
The Pursuit of Love,Nancy Mitford,"",9780241984079,paperback,read,2022/08/14,2022/08/29,2022/08/29,2,"",,,,,,,4.0,"“Linda herself has shown us one further possibility: that a life lived with passion and brio may have beauty and value, even if one ends up with ""nothing to show for it"" and that the search for true love is a noble endeavour, whether or not it concludes in domestic bliss.”","",,"",No
The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob Fitzpatrick,"","",paperback,read,2025/09/28,2025/09/26,2025/09/26,1,"",,,,,,,3.0,"A good intro to customer discovery conversations! <br><br><i>The Mom Test</i> gives a good framework for collecting feedback that hinges on avoiding talking about your business idea/solution and instead focus on understanding people's actual lives through specific past examples, not hypothetical futures. <br><br>The key insight is that people know their problems but not the solutions, so your job when collecting feedback is to uncover their goals and motivations by asking ""why do you bother"" and observing behavior rather than collecting opinions. If someone hasn't already tried solving a problem, they won't buy your solutions.","",,"",No
Greenlights,Matthew McConaughey,"",9780593139134,hardcover,read,2022/08/26,2022/08/29,2022/08/29,1,"",,,,,,,3.0,Is what he’s saying worth listening to? Sometimes. I enjoyed the first half of the book much more than the second half - the stories from his childhood/young adult/early career seemed far more relatable and authentic before he bought into his own celebrity/wealth. Definitely worth investing in the audiobook (narrated by McConaughey).,"",,"",No
The Dutch House,Ann Patchett,"",9780062963673,hardcover,read,2024/12/30,2025/01/06,2025/01/06,1,"",,,,,,,4.0,"There's something funny about giving someone a tour of your hometown when you're from a small place. The stops on my hometown tour route are all pretty mundane locations that I know must be boring for my guest: my high school, my favorite grocery store, the restaurant where I had my first job. <br><br>But I imagine that whenever anyone from a small town gives a late-night driving hometown tour, the local high school is on the itinerary. We all know what a high school looks like, but somehow showing someone ""yours"" feels important.<br><br>There is a lot of nostalgia around places and objects; it's much easier to separate out only the positive memories around these inanimate objects than it is to do with people, and therefore places become very nostalgic. Homes (essential places full of objects) even more so. I think that capturing the nostalgia around place that Patchett succeeds most with <i>The Dutch House</i>.<br><br>The Dutch House doesn't achieve the literary permanence of Manderley or Wuthering Heights. For me I can't say that the houser really developed as a character in its own right as some of these other abodes did. However, The siblings' reactions and nostalgia for the home feel deeply realistic.<br><br><i>The Dutch House</i> is a story of siblings Danny and Maeve Conroy and their obsessive connection to the iconic family house they lived in as children. After their mother abandons them and their father remarries a cold, ambitious woman named Andrea, the siblings depend entirely on each other. When their father dies, Andrea inherits everything and immediately throws them out. This starts an obsessive ritual where Danny and Maeve return periodically to park across from the Dutch House, gazing at it and recalling memories, wondering how life would have panned out—if only. The emotional baggage they carry together drives them forward but also restricts their successes and the paths they take. The pair is trapped by nostalgia for a version of life that was never actually as happy as they remember, and their constant ""what if"" thinking holds them back from building real futures.<br><br>I've recently added ""Woods Creek Road"" to my hometown tour route. It's long and dark and has no shoulder. It was the type of road you can't speed on because there are blind corners and lots of deer that you could hit if you weren't being careful. But a few years ago, the road received a callout in a Benson Boone song. Now the road—dormant and unnoticeable in my memory for years—has somehow been transformed into something I feel nostalgic for. I imagine all of the late nights I spent returning from volleyball practices, blasting Lonely Island music while I tried to make it home without falling asleep.<br><br>Memory and nostalgia are weird in that way. We can assign memories and meaning to something that maybe didn't have these memories and meaning to us in the first place. This is exactly what happens to Danny and Maeve with the Dutch House—they've built it up in their minds as this perfect lost Eden, when the reality was much more complicated and painful.<br><br>I think nostalgia, particularly for the analog technology of the '90s and early 2000s, is something we'll see even more of this year. The last few years have seen major trends in older photography (Polaroids, film, Super 8, digital cameras) and record players, and I think we'll see growing interest in ""dumb phones,"" DVD collecting, and similar throwbacks neatly packaged in an ""analog living"" trend.<br>It's an interesting form of nostalgia, especially because I feel like it comes from a younger (Gen Z) audience, who didn't really use these objects much or at all in their real lives before they became obsolete. This older technology feels appealing because it stems from longing for a time when technology was new, exciting, and full of promise versus our AI/algorithm-obsessed present where it's addictive, all-consuming, and threatens jobs and autonomy.<br><br>Like the siblings returning to stare at the Dutch House, maybe we're all looking backward because moving forward feels too uncertain. But does this backward gaze help us (can older tech actually help people break phone/dopamine addictions?) or is living in the nostalgia holding us back?","",,"",No
Romancing Mister Bridgerton,Julia Quinn,"",9780349438467,paperback,read,2023/01/04,2023/01/06,2023/01/06,1,"",,,,,,,2.0,Penelope’s character is definitely one of the Quinn’s best.,"",,"",No
Nineteen Eighty-Four,George Orwell,"",9780452284234,paperback,read,2023/08/21,2023/10/26,2023/10/26,1,"",,,,,,,3.0,"1984 is a classic for a reason. As a novel, it is by no means perfect, but the world and ideas depicted in this dystopian society make it a must read.","",,"",No
Number the Stars,Lois Lowry,"",9780440227533,paperback,to-read,2023/09/01,"","",0,"",,,,,,,,,"",,"",No
The Grace Year,Kim Liggett,"",9781250145444,hardcover,to-read,2023/03/28,"","",0,"",,,,,,,,,"",,"",No
Thomas Cole's Journey: Atlantic Crossings,"Tim Barringer, Elizabeth Mankin Kornhauser","",9781588396402,hardcover,read,2023/08/14,"","",1,"",,,,,,,,,"",,coffee-table,No
Career and Family: Women's Century-Long Journey Toward Equity,Claudia Goldin,"",9780691201788,hardcover,read,2024/11/30,2024/12/10,2024/12/10,1,"",,,,,,,3.0,"Claudia Goldin’s <i>Career and Family</i> offers a compelling, data-driven narrative about women’s labor market outcomes and the persistent gender pay gap, a topic that earned her the 2023 Nobel Prize in Economics. While the book's 350 pages might have been condensed into a sharp, hour-long podcast, the insights are worth exploring—especially her key argument: the biggest obstacle to women’s wages isn’t direct discrimination but the structure of work itself. Goldin shows how “greedy jobs”—roles that demand long, unpredictable hours and reward those always on-call—penalize women who often scale back their work commitments after having children, sacrificing earnings and advancement opportunities.<br><br>Goldin's historical perspective makes her argument even more illuminating. She traces the evolution of women’s work and family choices across five generational cohorts, starting with the “career or family” generation (born 1878–1897) and culminating in the “career and family” generation (born 1958–1978). Her analysis reveals surprising discontinuities shaped by external forces, like the Great Depression, WWII, the advent of the Pill, and no-fault divorce laws. These shifts opened doors for women to delay marriage, invest in careers, and ultimately balance both work and family—though not without trade-offs.<br><br>The book is filled lots of data illustrating just how far women have come in the journey towards equity especially in the educational realm. But while women have achieved unprecedented educational and professional gains, the rising rewards for “greedy jobs” have deepened gender disparities. Goldin convincingly argues that we must rethink how work is structured—making flexible, predictable roles more abundant and rewarding. Her call to action resonates: creating a workplace where flexibility isn’t penalized is essential for advancing gender equity.","",,"",No
Don Quixote,Miguel de Cervantes,John Rutherford (Translator),9780241347768,hardcover,to-read,2024/03/03,"","",0,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780143111580,hardcover,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
"Maggie; or, A Man and a Woman Walk Into a Bar",Katie Yee,"",9781668084212,hardcover,read,2025/11/19,2025/11/26,2025/11/26,1,"",,,,,,,3.0,"I'm on a coincidental streak of books with unnamed protagonists — du Maurier's <i>Rebecca</i>, Dostoevsky's <i>Notes from Underground</i>, and now Yee's <i>Maggie; or a Man and a Woman Walk Into a Bar</i>.<br><br>Of the three, I think Yee makes the lack of a protagonist name feel most seamless, which is high praise given the comparisons.<br><br>The narrator's husband leaves her for a woman named Maggie, then she gets diagnosed with cancer (and names her tumor Maggie). Through it all she maintains this remarkable composure: rationalizing, staying generous to her ex, never telling him about the diagnosis because she doesn't want to ""trap him."" She privately fantasizes about how guilty he'll feel when he finds out, but she never acts on her anger or hurt.<br><br>Her narration is smart and funny. I identified a lot with the narrator and wondered if I would maintain this level-headedness and restraint in the same scenario. But it also makes me wonder if this restraint is something I would actually want to have in this situation. Wouldn't it be more satisfying to live out the revengeful fantasy of hurting the partner who hurt you back?<br><br>Maybe her lack of emotional outburst is more powerful and easier to fixate on because of her anonymity. Is it because her reaction takes up so little space that she's undeserving of a name?","",,"",No
A Breath of Snow and Ashes,Diana Gabaldon,"",9780385340397,paperback,to-read,2022/08/07,"","",0,"",,,,,,,,,"",,"",No
Vanity Fair,William Makepeace Thackeray,"",9780141199542,hardcover,read,2023/08/17,2024/06/02,2024/06/02,1,"",,,,,,,3.0,"I finished it, but barely. I’m a big fan of the story and love the amazon adaption with Olivia Cooke. Becky Sharp is one of my favorite characters I’ve encountered in literature and for her, I’ll definitely try to reread this in the future. <br><br>That being said it was a real relief to finish this. It’s a long book and I was not in the right mood to read a 900 page Victorian novel so by the time I was halfway through I had switched to the audiobook format.","",,"",No
Remarkably Bright Creatures,Shelby Van Pelt,"",9780063204157,hardcover,to-read,2023/09/01,"","",0,"",,,,,,,,,"",,"",No
Everything I Know About Love: A Memoir,Dolly Alderton,"",9780062968784,hardcover,read,2024/10/10,2024/10/10,2024/10/10,1,"",,,,,,,2.0,DNF - I probably read 25% by paging through &amp; reading chapters with titles I thought sounded interesting.,"",,"",No
The Masque of the Red Death,Edgar Allan Poe,"",9780895987358,paperback,read,2024/02/03,"","",1,"",,,,,,,3.0,A timely read in the age of covid / lockdowns / quarantine bubbles.,"",,"",No
Love in a Cold Climate,Nancy Mitford,"",9780307741356,digital,to-read,2024/03/03,"","",0,"",,,,,,,,,"",,"",No
Flowers for Algernon,Daniel Keyes,"","",digital,to-read,2024/06/23,"","",0,"",,,,,,,,,"",,"",No
Things Fall Apart,Chinua Achebe,"",9780679446231,hardcover,read,2024/09/02,2024/09/19,2024/09/19,1,"",,,,,,,4.0,"This was a hard book to start. I think because the ""hero"" is hard to cheer for. The fun of reading classics is that you get the opportunity to realize how universal, across both place and time, so many of our struggles are. Okonkwo is introduced as the strongman of his village, and his obsession with maintaining this hypermasculine image-both in the eyes of himself and his kinsmen, and as a way to distance himself from his father's legacy-ultimately becomes his fatal flaw:<br><br>“Okonkwo ruled his household with a heavy hand. His wives, especially the youngest, lived in perpetual fear of his fiery temper, and so did his little children. Perhaps down in his heart Okonkwo was not a cruel man. But his whole life was dominated by fear, the fear of failure and of weakness. It was deeper and more intimate than the fear of evil and capricious gods and of magic, the fear of the forest, and of the forces of nature, malevolent, red in tooth and claw. Okonkwo's fear was greater than these. It was not external but lay deep within himself. It was the fear of himself, lest he should be found to resemble his father.” (pg. 10)<br><br>Set in the 1890s, the novel deals with the beginnings of British colonialism on the traditional Igbo society in Nigeria. <br><br>One of the most interesting things I took away from this book is the pattern that those who suffer most under the current system often the first to adopt a new one. The villagers who are most discontent are the first to embrace Christianity. On the flip side, characters like Okonkwo, who thrive under the traditional ways, are the most resistant to the changes brought by the missionaries.<br><br>The Ibo people who first converted to Christianity likely didn’t want the missionaries to take control over their clan. They were simply seeking solace from the aspects of their culture that caused them pain—like Nwoye, who was traumatized by the cultural violence that led to his brother Ikemefuna's death, or the mothers forced to abandon their twins due to the belief that they were evil. They found sympathy in Christianity, which offered an alternative to the harshness they faced.<br><br>Okonkwo has the potential to be a great leader, but his unwillingness to sympathize with kinsmen that do not embody the traditional views of his culture eventually leads to his downfall. While it’s clear that the colonizers had no right to impose their beliefs, I can’t help but wonder how things might have turned out differently if there was a willingness to change or adapt some traditions.  Is it possible the Christian missionaries would have struggled to gain such a foothold?<br><br>This idea connects to various moments in history including modern-day America, where radical movements gain strength when people refuse to change or listen to one another. It emphasizes the importance of dialogue and finding common ground during times of upheaval. At the end of the book, Okonkwo sees only one path forward: civil war. When he believes his clan lacks the heart for this fight, he chooses to take his own life rather than seek a new way for the Ibo people. This tragic conclusion underscores the dangers of inflexibility and the dire consequences when leaders refuse to adapt.","",,"",No
The Master and Margarita,Mikhail Bulgakov,"Larissa Volokhonsky (Translator), Boris Fishman (Contributor), Richard Pevear (Translator), Christopher Conn Askew (Illustrator)",9780143108276,paperback,to-read,2025/11/11,"","",0,"",,,,,,,,,"",,"",No
Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,"",9780385543767,hardcover,to-read,2024/03/24,"","",0,"",,,,,,,,,"",,"",No
